Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Prediction
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
15467,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
3179,1752621,5,3,0,2,0,2
15467,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2753,1752621,5,3,0,2,0,2
3179,1752621,5,3,0,2,0,2
2374,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2010,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
15467,1752621,5,3,0,2,0,2
2699,1752621,5,3,0,2,0,2
2852,1758274,5,3,0,0,0,81
22333,1759025,5,3,0,14,0,2
2451,1752621,5,3,0,2,0,2
20351,1758274,5,3,0,0,0,3
20351,1758274,5,3,0,0,0,81
20351,1758274,5,3,0,0,0,3
21821,1758274,5,3,0,0,0,81
2753,1752621,5,3,0,2,0,2
21483,1768790,5,3,0,0,0,3
15467,1752621,5,3,0,2,0,2
2753,1752621,5,3,0,2,0,2
3018,1758274,5,3,0,0,0,81
20150,1758720,5,3,0,2,0,35
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2847,1758274,5,3,0,0,0,81
2542,1752621,5,3,0,2,0,2
2753,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2753,1752621,5,3,0,2,0,2
20351,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,2,0,2
2753,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2753,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
3179,1752621,5,3,0,2,0,2
19264,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2847,1758274,5,3,0,0,0,81
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2847,1758274,5,3,0,0,0,81
21618,1768790,5,3,0,0,0,3
2542,1752621,5,3,0,2,0,2
3179,1752621,5,3,0,2,0,2
21821,1758274,5,3,0,0,0,81
2542,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
3028,1752621,5,3,0,2,0,2
3179,1752621,5,3,0,2,0,2
14895,1758720,5,3,0,3,0,81
